order_id,order_date,brand,model_name,category,gender,size,color,base_price_usd,discount_percent,final_price_usd,units_sold,revenue_usd,payment_method,sales_channel,country,customer_income_level,customer_rating
ORD100000,1/30/2021,ASICS,Model-370,Running,Unisex,8,Black,162,15,137.7,1,137.7,Card,Retail Store,Germany,Low,4.6
ORD100001,10/5/2026,Reebok,Model-314,Lifestyle,Men,8,Grey,80,5,76,3,228,Card,Online,USA,Low,3.9
ORD100002,11/12/2023,ASICS,Model-763,Lifestyle,Men,8,Black,176,15,149.6,4,598.4,Cash,Retail Store,India,Medium,3
ORD100003,8/29/2026,Reebok,Model-905,Basketball,Women,7,White,61,15,51.85,2,103.7,Card,Retail Store,India,High,3.4
ORD100004,11/9/2019,Nike,Model-413,Training,Men,11,Black,80,0,80,4,320,Cash,Online,USA,Medium,3
ORD100005,8/27/2021,Nike,Model-158,Gym,Unisex,7,Grey,148,0,148,3,444,Wallet,Retail Store,UK,Low,3.1
ORD100006,2/21/2019,Reebok,Model-786,Gym,Women,11,Black,74,30,51.8,2,103.6,Bank Transfer,Online,UAE,High,3.4
ORD100007,5/17/2020,New Balance,Model-604,Lifestyle,Women,8,White,114,15,96.9,4,387.6,Bank Transfer,Online,USA,High,4.7
ORD100008,3/30/2022,New Balance,Model-266,Running,Unisex,7,Grey,194,20,155.2,1,155.2,Bank Transfer,Retail Store,UK,High,4.9
ORD100009,3/11/2026,Nike,Model-876,Gym,Unisex,7,Black,119,30,83.3,2,166.6,Card,Retail Store,USA,Medium,3.2
ORD100010,4/6/2022,Adidas,Model-554,Running,Men,9,Blue,143,15,121.55,3,364.65,Card,Online,UAE,Medium,4
ORD100011,5/20/2020,Nike,Model-661,Gym,Men,9,Blue,94,30,65.8,1,65.8,Bank Transfer,Online,Germany,High,3.6
ORD100012,9/20/2025,Puma,Model-871,Lifestyle,Men,11,White,193,30,135.1,2,270.2,Wallet,Retail Store,UAE,Low,3.1
ORD100013,12/7/2023,Adidas,Model-261,Training,Unisex,7,Black,205,5,194.75,4,779,Bank Transfer,Retail Store,USA,Medium,4.8
ORD100014,1/3/2026,Reebok,Model-351,Training,Women,6,White,73,30,51.1,3,153.3,Wallet,Online,USA,Low,4.9
ORD100015,4/6/2021,Adidas,Model-316,Running,Unisex,9,Black,141,20,112.8,4,451.2,Cash,Retail Store,UK,Medium,4.2
ORD100016,4/15/2024,Puma,Model-912,Running,Men,6,Grey,100,20,80,3,240,Cash,Online,India,High,3
ORD100017,11/9/2023,Reebok,Model-747,Training,Women,8,White,68,0,68,4,272,Card,Retail Store,Pakistan,Low,3.4
ORD100018,2/7/2022,Adidas,Model-388,Lifestyle,Women,8,Red,195,10,175.5,3,526.5,Card,Retail Store,Germany,High,3.1
ORD100019,5/22/2023,Adidas,Model-300,Gym,Men,9,Black,100,15,85,3,255,Wallet,Online,India,Low,3.7
